2021-04-26,1,1589.6404025945198544092497,BNB
2021-04-26,2,1154.1093221461778720579485,CAKE
2021-04-26,3,803.1579836996529589893361,DOGE
2021-04-26,4,762.3835489102946209055085,ETH
2021-04-26,5,751.9055996424394852242397,XLM
2021-04-26,6,629.8578921560765602579607,BTC
2021-04-27,1,739.114498429496961158295,BNB
2021-04-27,2,630.7881938636494347792192,DOGE
2021-04-27,3,611.5242550451250757452421,CAKE
2021-04-27,4,579.0059738111847284095171,BTC
2021-04-27,5,501.2803523729985443489428,TRX
2021-04-27,6,432.5547990506856877381326,ETH
2021-04-28,1,2164.2509033037642859967228,BNB
2021-04-28,2,1160.7254987169733373677739,CAKE
2021-04-28,3,1059.7399326310730788297962,DOGE
2021-04-28,4,829.3374181114172463605497,LTC
2021-04-28,5,802.571852904708522299565,SOL
2021-04-28,6,789.4538381845993623351208,ETH
2021-04-29,1,1923.5285652488858021944526,BNB
2021-04-29,2,1336.9065454021379115362959,CAKE
2021-04-29,3,1157.5046342087632496340018,DOGE
2021-04-29,4,1113.1107992270433192238388,LTC
2021-04-29,5,1006.3790987500119610730325,ETH
2021-04-29,6,831.9037428431920513828339,BTC
2021-04-30,1,1807.2260925576322291041311,BNB
2021-04-30,2,1507.1404983670672687490943,CAKE
2021-04-30,3,890.4365921163980524949405,DOGE
2021-04-30,4,829.7050138210649776265578,LTC
2021-04-30,5,828.087049027272088346944,XLM
2021-04-30,6,763.7182063991897362884326,ETH
2021-05-01,1,1956.6501884690064840838138,BNB
2021-05-01,2,894.7970957768695831710385,CAKE
2021-05-01,3,744.8247252833543826345747,SOL
2021-05-01,4,710.1424503088096576031954,XLM
2021-05-01,5,687.1094353353282697456055,DOGE
2021-05-01,6,622.7304712361785743870332,ETH
2021-05-02,1,1811.4700568264856826882319,CAKE
2021-05-02,2,1498.9175091806573598985557,BNB
2021-05-02,3,1188.865092394043132809045,SOL
2021-05-02,4,691.652710097218460226447,XLM
2021-05-02,5,644.5882094383473435046618,BTC
2021-05-02,6,560.1746923133573576355759,ETH
2021-05-03,1,1609.5051968683324098393798,CAKE
2021-05-03,2,890.490653584653044970663,BNB
2021-05-03,3,785.1295406978936186927785,XLM
2021-05-03,4,766.021749654558331366722,SOL
2021-05-03,5,690.0723918413223150464041,DOGE
2021-05-03,6,568.3854056553695953626664,ETH
2021-05-04,1,1287.871526054815835504951,CAKE
2021-05-04,2,765.115901095241042268194,XLM
2021-05-04,3,740.7436211828053279318316,BNB
2021-05-04,4,717.840853033115310432667,SOL
2021-05-04,5,664.4840858434886246935268,DOGE
2021-05-04,6,566.9289742759910922444692,BTC
2021-05-05,1,1550.8882608615115253247188,CAKE
2021-05-05,2,1498.5565113564462073324785,BNB
2021-05-05,3,1360.191353232807612741998,SOL
2021-05-05,4,827.4909205002268207761769,XLM
2021-05-05,5,786.1600798347246686197934,LTC
2021-05-05,6,566.9660119514937818565985,DOGE
2021-05-06,1,1910.1020840385313004569746,SOL
2021-05-06,2,1785.321878152453337744805,BNB
2021-05-06,3,1299.5729151457837829334816,CAKE
2021-05-06,4,818.5447912452070813925631,XLM
2021-05-06,5,554.6602935372943628376896,TRX
2021-05-06,6,517.663266010284814596891,ETH
2021-05-07,1,1266.246657566758131921613,BNB
2021-05-07,2,1023.435633956243008681496,SOL
2021-05-07,3,847.4890274513611520071027,CAKE
2021-05-07,4,550.8295611096436912016734,XLM
2021-05-07,5,463.3030304747553539579858,BTC
2021-05-07,6,408.1579596457504512483461,ADA
2021-05-12,1,2117.2134126399323592560526,SOL
2021-05-12,2,1127.8725277036673989107204,BNB
2021-05-12,3,793.6358252049576579412914,XLM
2021-05-12,4,513.5236547684364742023551,CAKE
2021-05-12,5,373.0982548791021126117894,DOGE
2021-05-12,6,330.1362296379995762039723,BTC
2021-05-13,1,1965.066528592995837696772,SOL
2021-05-13,2,1300.998643160407485709516,BNB
2021-05-13,3,858.0365426085750218448846,XLM
2021-05-13,4,794.4641149140156821661418,CAKE
2021-05-13,5,563.9099850747097702264785,BUSD
2021-05-13,6,459.1664352827024205424335,DOGE
2021-05-14,1,2071.850107031128574918945,SOL
2021-05-14,2,1367.7388992749058601113976,BNB
2021-05-14,3,879.3021436748967970997126,XLM
2021-05-14,4,743.245729770686920495388,CAKE
2021-05-14,5,444.3731575342978904765714,DOGE
2021-05-14,6,365.515198282736264345243,ADA
2021-05-15,1,1388.132021995565991936617,SOL
2021-05-15,2,842.390620673694684315811,BNB
2021-05-15,3,577.9812981026796031230838,CAKE
2021-05-15,4,323.246925688726605607124,XLM
2021-05-15,5,248.7129286605543261315521,ADA
2021-05-15,6,223.7170425709869046631469,ETH
